"username","n_likes","n_comments","n_hashtags","n_characters","n_words","n_emojis","n_mentions","is_video","Trudeau"
"justinpjtrudeau",46313,934,2,2023,340,0,1,FALSE,1
"justintimberlake",267861,4929,2,83,9,0,12,FALSE,0
"justinpjtrudeau",14546,123,1,438,66,0,0,FALSE,1
"justintimberlake",829588,12116,0,84,16,0,1,FALSE,0
"justintimberlake",177183,2496,0,42,7,0,5,TRUE,0
"justintimberlake",430092,3192,1,32,3,0,0,TRUE,0
"justinpjtrudeau",29866,448,0,237,40,1,1,FALSE,1
"justintimberlake",914136,6145,0,28,6,1,6,FALSE,0
"justinpjtrudeau",31634,705,0,563,97,0,2,FALSE,1
"justinpjtrudeau",22952,800,0,196,34,0,0,FALSE,1
"justinlong",22671,176,0,1079,180,1,6,FALSE,0
"justinpjtrudeau",16415,232,2,255,45,0,0,FALSE,1
"justintimberlake",257334,7631,2,180,17,0,0,TRUE,0
"justinlong",17128,264,0,73,14,3,1,FALSE,0
"justinpjtrudeau",288757,4441,0,55,9,0,1,FALSE,1
"justintimberlake",737849,4439,0,13,3,1,0,FALSE,0
"justinpjtrudeau",13224,256,0,150,28,0,0,FALSE,1
"justintimberlake",419342,1997,0,44,10,1,1,FALSE,0
"justinpjtrudeau",13417,167,0,229,34,0,0,FALSE,1
"justinpjtrudeau",33694,961,0,546,97,0,5,FALSE,1
"justinpjtrudeau",74358,2055,0,1126,185,0,2,FALSE,1
"justinhartley",21331,528,0,23,3,0,0,FALSE,0
"justinpjtrudeau",14773,167,2,270,39,0,0,FALSE,1
"justintimberlake",107083,1827,0,51,6,2,3,TRUE,0
"justinlong",35607,494,0,418,79,1,0,FALSE,0
"justinpjtrudeau",31601,1645,0,107,19,0,0,FALSE,1
"justinpjtrudeau",19242,231,0,674,111,0,0,FALSE,1
"justinpjtrudeau",26435,275,0,314,49,0,0,FALSE,1
"justinpjtrudeau",560,6,2,157,25,0,0,FALSE,1
"justinpjtrudeau",52160,1304,0,556,94,0,1,FALSE,1
"justinpjtrudeau",2044,155,1,86,14,0,0,FALSE,1
"justinpjtrudeau",52042,987,0,586,111,0,2,FALSE,1
"justinpjtrudeau",43955,232,0,42,8,0,0,FALSE,1
"justinpjtrudeau",28378,739,0,511,90,0,8,FALSE,1
"justinpjtrudeau",302508,2832,2,167,28,2,1,FALSE,1
"justinpjtrudeau",38683,1205,0,1488,235,0,2,FALSE,1
"justinpjtrudeau",1091,38,1,34,4,0,0,FALSE,1
"justinpjtrudeau",1789,93,2,298,50,0,0,FALSE,1
"justinpjtrudeau",94630,486,0,299,53,0,0,FALSE,1
"justintimberlake",108374,1611,2,797,152,0,3,TRUE,0
"justinhartley",102377,1209,1,115,20,0,4,FALSE,0
"justinpjtrudeau",723,18,0,36,7,0,0,FALSE,1
"justinpjtrudeau",6702,100,2,1970,319,0,1,FALSE,1
"justinpjtrudeau",35683,1160,0,250,46,0,0,FALSE,1
"justinhartley",63693,1616,1,92,16,0,0,TRUE,0
"justinpjtrudeau",25565,246,0,386,68,0,0,FALSE,1
"justinpjtrudeau",43799,1152,0,427,73,6,0,TRUE,1
"justinpjtrudeau",55939,1490,0,632,108,0,0,FALSE,1
"justintimberlake",267640,2473,1,200,36,0,0,FALSE,0
"justinhartley",53750,1022,1,267,48,0,1,FALSE,0
"justinpjtrudeau",48436,1949,0,484,82,0,1,FALSE,1
"justinpjtrudeau",35343,495,0,571,98,0,0,FALSE,1
"justinpjtrudeau",558,5,3,109,15,0,0,FALSE,1
"justintimberlake",201866,3227,1,169,30,2,1,TRUE,0
"justintimberlake",503211,4192,1,171,30,1,0,FALSE,0
"justintimberlake",796704,3890,0,1335,261,0,1,FALSE,0
"justinhartley",10346,38,0,44,5,0,0,FALSE,0
"justinhartley",5184,54,0,303,56,0,0,FALSE,0
"justinpjtrudeau",63199,1127,0,575,105,0,0,FALSE,1
"justintimberlake",571273,3328,0,31,5,0,1,FALSE,0
"justinhartley",24610,101,0,122,19,0,0,FALSE,0
"justinpjtrudeau",30513,419,0,485,75,0,0,FALSE,1
"justinpjtrudeau",31235,721,2,596,101,0,0,FALSE,1
"justinlong",16977,173,1,69,10,2,0,FALSE,0
"justinpjtrudeau",5428,392,0,374,62,0,0,TRUE,1
"justinpjtrudeau",110202,1947,0,464,79,0,2,FALSE,1
"justinpjtrudeau",32495,283,3,938,157,7,0,FALSE,1
"justinpjtrudeau",11492,210,0,279,39,0,0,TRUE,1
"justinpjtrudeau",11480,140,0,229,39,0,0,FALSE,1
"justinpjtrudeau",57448,1795,0,168,32,0,0,FALSE,1
"justinlong",7113,89,0,765,133,1,2,FALSE,0
"justinpjtrudeau",19858,340,4,166,20,0,3,FALSE,1
"justinhartley",25533,248,0,59,9,0,0,FALSE,0
"justinpjtrudeau",35696,1627,0,1466,217,0,4,FALSE,1
"justinpjtrudeau",24201,183,0,245,45,0,0,FALSE,1
"justinlong",31348,401,0,37,7,3,1,FALSE,0
"justinpjtrudeau",14822,252,2,232,42,0,0,FALSE,1
"justintimberlake",439676,3586,1,65,9,0,1,FALSE,0
"justinhartley",9637,106,0,50,8,0,0,TRUE,0
"justintimberlake",353995,3631,0,76,12,0,0,FALSE,0
"justinpjtrudeau",55975,467,0,379,66,0,0,FALSE,1
"justinpjtrudeau",16056,532,0,127,21,0,0,TRUE,1
"justinlong",7792,167,5,160,21,0,0,FALSE,0
"justinpjtrudeau",108244,2137,2,278,43,0,1,TRUE,1
"justinpjtrudeau",26735,340,2,407,60,0,0,FALSE,1
"justinpjtrudeau",9408,88,3,278,45,0,0,FALSE,1
"justinpjtrudeau",15096,140,0,227,34,0,2,FALSE,1
"justinhartley",130787,1177,0,183,29,0,1,FALSE,0
"justintimberlake",909722,3437,0,258,51,0,1,FALSE,0
"justinpjtrudeau",59803,1221,0,219,29,5,0,TRUE,1
"justinhartley",67189,402,1,53,8,0,2,FALSE,0
"justintimberlake",274337,1527,2,40,5,0,0,FALSE,0
"justinhartley",29700,85,0,68,13,0,3,FALSE,0
"justinlong",57962,1024,3,321,53,0,0,FALSE,0
"justinpjtrudeau",17789,180,0,285,49,0,0,FALSE,1
"justintimberlake",1236331,4159,0,180,33,0,1,FALSE,0
"justintimberlake",99861,1335,0,28,4,0,0,TRUE,0
"justinpjtrudeau",29156,1307,0,421,68,0,2,FALSE,1
"justinhartley",2631,56,0,8,1,0,0,FALSE,0
"justinlong",11350,291,1,715,118,0,1,FALSE,0
"justinhartley",178411,1110,0,22,5,0,1,FALSE,0
"justinpjtrudeau",73143,2463,0,51,9,0,0,TRUE,1
"justinpjtrudeau",121088,1254,0,469,85,0,0,FALSE,1
