"username","n_likes","n_comments","n_hashtags","n_characters","n_words","n_emojis","n_mentions","is_video","Trudeau"
"justintimberlake",18772,233,1,33,6,0,0,FALSE,0
"justinpjtrudeau",76802,1207,0,239,39,0,0,FALSE,1
"justinlong",4150,136,1,315,53,5,0,TRUE,0
"justintimberlake",107801,879,2,120,19,0,2,FALSE,0
"justinlong",17182,128,0,44,7,0,0,FALSE,0
"justinhartley",146551,833,1,96,18,0,1,FALSE,0
"justintimberlake",731924,2309,1,328,61,0,1,FALSE,0
"justintimberlake",170117,1267,0,15,2,0,1,TRUE,0
"justinhartley",125339,912,1,125,22,0,3,FALSE,0
"justinpjtrudeau",39538,487,0,428,73,0,0,FALSE,1
"justinpjtrudeau",28447,484,2,561,100,0,9,FALSE,1
"justintimberlake",119317,1413,0,141,24,0,1,FALSE,0
"justinpjtrudeau",28557,486,0,424,75,0,2,FALSE,1
"justinlong",89450,1335,3,457,78,0,0,FALSE,0
"justinlong",11639,128,2,62,8,0,1,FALSE,0
"justintimberlake",176851,1596,2,24,2,0,0,FALSE,0
"justintimberlake",219224,664,1,103,20,0,1,FALSE,0
"justintimberlake",694034,15094,0,75,16,5,5,TRUE,0
"justinlong",15117,235,4,889,150,4,4,FALSE,0
"justinlong",6714,70,3,221,38,0,2,FALSE,0
"justinpjtrudeau",67730,1986,0,1104,178,0,2,FALSE,1
"justinpjtrudeau",4918,198,5,234,38,0,0,FALSE,1
"justinhartley",95450,2982,1,68,13,0,2,FALSE,0
"justintimberlake",241151,1199,2,77,8,1,3,FALSE,0
"justinpjtrudeau",26541,390,0,763,121,0,0,FALSE,1
"justinpjtrudeau",23087,277,2,231,37,0,0,FALSE,1
"justinhartley",73339,472,0,156,24,0,1,FALSE,0
"justinpjtrudeau",26171,254,0,230,40,0,0,FALSE,1
"justintimberlake",1953859,9333,0,318,62,0,1,FALSE,0
"justinhartley",86904,5081,3,41,7,0,3,FALSE,0
"justinpjtrudeau",20244,430,0,594,104,0,0,TRUE,1
"justintimberlake",259802,2289,1,111,18,0,0,FALSE,0
"justinpjtrudeau",15320,299,2,273,39,0,5,TRUE,1
"justinpjtrudeau",41522,1271,0,532,87,0,1,FALSE,1
"justinhartley",20766,163,1,58,11,0,0,TRUE,0
"justinpjtrudeau",19242,231,0,674,111,0,0,FALSE,1
"justintimberlake",495619,2700,0,9,2,0,4,FALSE,0
"justinpjtrudeau",38741,1105,0,503,85,0,0,FALSE,1
"justintimberlake",51084,889,2,50,7,0,0,FALSE,0
"justinlong",8778,92,0,84,16,2,0,FALSE,0
"justintimberlake",909722,3437,0,258,51,0,1,FALSE,0
"justinpjtrudeau",56224,496,0,266,42,0,0,FALSE,1
"justinpjtrudeau",15978,257,0,267,41,0,0,FALSE,1
"justinpjtrudeau",19878,383,2,279,44,0,0,TRUE,1
"justinpjtrudeau",38864,373,0,541,89,0,0,FALSE,1
"justinpjtrudeau",36101,806,0,1017,160,0,4,FALSE,1
"justinpjtrudeau",51736,980,0,1440,230,0,3,FALSE,1
"justintimberlake",635204,4802,1,41,7,0,3,FALSE,0
"justinpjtrudeau",20903,352,1,150,22,0,0,TRUE,1
"justinlong",18183,238,0,643,106,4,2,FALSE,0
"justinlong",14468,260,0,86,16,0,0,FALSE,0
"justintimberlake",429187,8060,0,42,6,0,2,TRUE,0
"justinhartley",144727,917,1,30,4,0,5,FALSE,0
"justinpjtrudeau",73143,2463,0,51,9,0,0,TRUE,1
"justintimberlake",219982,1661,1,107,20,0,1,TRUE,0
"justinpjtrudeau",118110,1832,0,189,33,0,0,FALSE,1
"justintimberlake",703076,7979,1,23,4,0,0,FALSE,0
"justintimberlake",364414,2877,0,17,3,1,2,FALSE,0
"justinlong",10190,188,1,803,151,0,0,FALSE,0
"justinhartley",2702,72,0,31,6,0,0,FALSE,0
"justintimberlake",539063,6476,1,71,12,0,0,FALSE,0
"justinlong",14100,149,1,811,136,2,4,FALSE,0
"justinlong",10802,169,0,628,106,0,3,FALSE,0
"justinpjtrudeau",6732,91,0,145,24,0,0,TRUE,1
"justinhartley",102103,1032,0,41,6,0,0,FALSE,0
"justinlong",9421,181,0,881,153,0,3,FALSE,0
"justinpjtrudeau",43349,622,0,323,51,6,0,FALSE,1
"justinlong",7652,274,1,21,2,0,0,TRUE,0
"justinhartley",163058,1817,1,34,8,0,3,FALSE,0
"justinpjtrudeau",15889,1071,1,250,45,0,0,TRUE,1
"justinpjtrudeau",208294,5671,0,1137,184,0,1,FALSE,1
"justinpjtrudeau",15503,209,0,541,85,0,0,TRUE,1
"justinpjtrudeau",39313,716,0,378,68,0,0,FALSE,1
"justintimberlake",39170,1028,1,250,41,0,0,TRUE,0
"justinpjtrudeau",51218,1982,0,913,146,0,1,FALSE,1
"justintimberlake",516347,3934,1,169,31,0,1,FALSE,0
"justinlong",12902,168,0,210,37,0,0,FALSE,0
"justinpjtrudeau",43955,232,0,42,8,0,0,FALSE,1
"justinlong",12473,310,0,1374,244,3,0,FALSE,0
"justinhartley",18064,313,1,130,20,0,0,FALSE,0
"justinhartley",95522,538,1,44,9,0,2,FALSE,0
"justinhartley",6498,182,1,152,27,0,0,FALSE,0
"justinpjtrudeau",37237,694,0,518,89,0,0,FALSE,1
"justinlong",10760,158,0,889,154,2,3,FALSE,0
"justintimberlake",564285,6199,1,49,8,0,0,TRUE,0
"justinhartley",549,6,0,9,2,0,0,FALSE,0
"justinlong",44826,672,1,144,24,0,3,FALSE,0
"justinpjtrudeau",69114,688,2,282,42,0,3,FALSE,1
"justintimberlake",39148,386,1,403,67,0,0,TRUE,0
"justinpjtrudeau",70068,1092,4,169,23,0,1,FALSE,1
"justinpjtrudeau",29770,395,0,117,24,0,0,TRUE,1
"justinlong",4001,55,0,1069,180,4,7,FALSE,0
